"uuid","event_year","event_date","event_time","event_datetime","round","round_number","stadium","city","country","home_team","away_team","observation","winner_team","loser_team","penalty_definition","home_goals","home_goals_in_penalties","away_goals","away_goals_in_penalties"
d7fe912d-0aff-b149-7f94-0744e7d22ed2,1962,"2-Jun-62", 15:00 ,1962-06-02 12:00:00.000 -0300,Group 2,1,Nacional,Santiago De Chile ,Chile,Chile,Italy,,Chile,Italy,false,2,,0,
d81adb15-c15f-1a16-2b40-7e63def6d074,1954,"17-Jun-54", 18:10 ,1954-06-17 15:10:00.000 -0300,Group 4,1,St. Jakob,Basel ,Switzerland,England,Belgium,,,,false,4,,4,
d86e7aa1-932a-c312-5e50-dc7302ab6bb4,2014,"24-Jun-14", 16:00 ,2014-06-24 13:00:00.000 -0300,Group C,1,Arena Pantanal,Cuiaba ,Brazil,Japan,Colombia,,Colombia,Japan,false,1,,4,
d8a04b76-a7e4-ef8b-f425-4ee5cf3d487c,2006,"20-Jun-06", 16:00 ,2006-06-20 13:00:00.000 -0300,Group A,1,Olympiastadion,Berlin ,Germany,Ecuador,Germany,,Germany,Ecuador,false,0,,3,
d8d9abe7-f5b6-0e37-716b-93af60d0b08d,2006,"26-Jun-06", 21:00 ,2006-06-26 18:00:00.000 -0300,Round of 16,2,"FIFA World Cup Stadium, Cologne",Cologne ,Germany,Switzerland,Ukraine,Ukraine win on penalties (0 - 3) ,Ukraine,Switzerland,true,0,0,0,3
d8edf027-7b6f-b9c3-85f5-c09f27d990ea,1966,"19-Jul-66", 16:30 ,1966-07-19 12:30:00.000 -0400,Group 1,1,Wembley Stadium,London ,England,Uruguay,Mexico,,,,false,0,,0,
d92eb560-70a5-ed42-4bc2-a3ebf78588a0,1958,"15-Jun-58", 19:00 ,1958-06-15 16:00:00.000 -0300,Group 1,1,Malmo Stadion,Malmï¿½ ,Sweden,Germany FR,Northern Ireland,,,,false,2,,2,
d938f926-1949-b87d-2def-897ab41abd78,1978,"11-Jun-78", 13:45 ,1978-06-11 10:45:00.000 -0300,Group 3,1,Estadio Josï¿½ Marï¿½a Minella,Mar Del Plata ,Argentina,Brazil,Austria,,Brazil,Austria,false,1,,0,
d9985b5b-39e3-8566-f1b2-848a247c998e,1994,"19-Jun-94", 16:00 ,1994-06-19 13:00:00.000 -0300,Group E,1,RFK Stadium,Washington Dc ,USA,Norway,Mexico,,Norway,Mexico,false,1,,0,
d9b0710c-196d-bcce-de38-1b86f5ae5fe5,1970,"14-Jun-70", 12:00 ,1970-06-14 09:00:00.000 -0300,Quarter-finals,3,Jalisco,Guadalajara ,Mexico,Brazil,Peru,,Brazil,Peru,false,4,,2,
da65752f-a57b-29b4-5b09-fa5db7de8b93,1998,"24-Jun-98", 21:00 ,1998-06-24 18:00:00.000 -0300,Group D,1,Stade Felix Bollaert,Lens ,France,Spain,Bulgaria,,Spain,Bulgaria,false,6,,1,
da87c217-bb6f-ca8a-9731-feb94bc14a3b,2002,"11-Jun-02", 20:30 ,2002-06-11 17:30:00.000 -0300,Group E,1,Shizuoka Stadium Ecopa,Shizuoka ,Korea/Japan,Cameroon,Germany,,Germany,Cameroon,false,0,,2,
da93f534-bee3-1396-f1e2-b8b05f98d7f7,1974,"3-Jul-74", 19:30 ,1974-07-03 16:30:00.000 -0300,Group A,1,Westfalenstadion,Dortmund ,Germany,Netherlands,Brazil,,Netherlands,Brazil,false,2,,0,
dac7d95a-17bb-bc26-24a5-7a9db9c94479,2010,"11-Jul-10", 20:30 ,2010-07-11 17:30:00.000 -0300,Final,5,Soccer City Stadium,Johannesburg ,South Africa,Netherlands,Spain,Spain win after extra time ,Spain,Netherlands,false,0,,1,
db98094e-e0ef-53e4-a50b-4b562f9a4a72,2006,"18-Jun-06", 15:00 ,2006-06-18 12:00:00.000 -0300,Group F,1,Franken-Stadion,Nuremberg ,Germany,Japan,Croatia,,,,false,0,,0,
dbcd089b-1605-72d0-b8e8-d87afff989aa,1986,"6-Jun-86", 12:00 ,1986-06-06 09:00:00.000 -0300,Group D,1,Jalisco,Guadalajara ,Mexico,Brazil,Algeria,,Brazil,Algeria,false,1,,0,
dbe455e1-fb8a-79bb-a968-1b8ac7007965,1934,"31-May-34", 16:30 ,1934-05-31 12:30:00.000 -0400,Quarter-finals,3,Giovanni Berta,Florence ,Italy,Italy,Spain,,,,false,1,,1,
dc14ecb3-bd3b-4307-ff4e-fb2e031cf61c,2014,"22-Jun-14", 13:00 ,2014-06-22 10:00:00.000 -0300,Group H,1,Estadio do Maracana,Rio De Janeiro ,Brazil,Belgium,Russia,,Belgium,Russia,false,1,,0,
dc4338e3-bb82-41d5-042b-a54cacdb32f8,1966,"15-Jul-66", 19:30 ,1966-07-15 15:30:00.000 -0400,Group 1,1,White City,London ,England,Uruguay,France,,Uruguay,France,false,2,,1,
dc5cedb9-e66a-4e59-f9de-308ab2a4ceda,1974,"30-Jun-74", 16:00 ,1974-06-30 13:00:00.000 -0300,Group A,1,Parkstadion,Gelsenkirchen ,Germany,German DR,Netherlands,,Netherlands,German DR,false,0,,2,
dc8b1539-675b-760f-bd9c-35f69e0fc1b2,1998,"14-Jun-98", 17:30 ,1998-06-14 14:30:00.000 -0300,Group F,1,Stade Geoffroy Guichard,Saint-Etienne ,France,Yugoslavia,Iran,,Yugoslavia,Iran,false,1,,0,
dcb62fea-013c-9fc8-819f-5fdb09e08fa3,1962,"3-Jun-62", 15:00 ,1962-06-03 12:00:00.000 -0300,Group 3,1,Estadio Sausalito,Vina Del Mar ,Chile,Spain,Mexico,,Spain,Mexico,false,1,,0,
dd635b9d-a027-e5db-2aba-a1538b0b3766,2014,"4-Jul-14", 17:00 ,2014-07-04 14:00:00.000 -0300,Quarter-finals,3,Estadio Castelao,Fortaleza ,Brazil,Brazil,Colombia,,Brazil,Colombia,false,2,,1,
dd8221a6-7546-fca8-6616-dba72cac3a74,1998,"20-Jun-98", 17:30 ,1998-06-20 14:30:00.000 -0300,Group E,1,Stade du Parc Lescure,Bordeaux ,France,Belgium,Mexico,,,,false,2,,2,
dd8b7055-f043-5a4a-1d54-633d0961c50a,1966,"23-Jul-66", 15:00 ,1966-07-23 11:00:00.000 -0400,Quarter-finals,3,Wembley Stadium,London ,England,England,Argentina,,England,Argentina,false,1,,0,
dde4dd2b-3ad9-8c84-fe6a-33b3138b7b1d,2006,"23-Jun-06", 21:00 ,2006-06-23 18:00:00.000 -0300,Group G,1,"FIFA World Cup Stadium, Hanover",Hanover ,Germany,Switzerland,Korea Republic,,Switzerland,Korea Republic,false,2,,0,
